"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","unique_id","Best_match_overall_score","Best_match_highertaxa"
"9","Callistemon viminalis","1","768505","Callistemon viminalis","1","species","","","","(Sol. ex Gaertn.) G.Don","Myrtaceae","Callistemon","Callistemon","1","viminalis","viminalis","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:591427-1","","Y","Synonym","Melaleuca viminalis","Melaleuca viminalis","(Sol. ex Gaertn.) Byrnes","1642270","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:914221-1","","Myrtaceae",2,"2","wcvp","","9",false,false
"10","Cannomois robusta","1","914781","Cannomois robusta","1","species","","","","(Kunth) H.P.Linder","Restionaceae","Cannomois","Cannomois","1","robusta","robusta","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000923177;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77111617-1","","Y","Accepted","Cannomois robusta","Cannomois robusta","(Kunth) H.P.Linder","914781","species","https://www.worldfloraonline.org/taxon/wfo-0000923177;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77111617-1","","Restionaceae",1,"1","wfo,wcvp","","10",true,true
"10","Cannomois robusta","1","1020944","Cannomois robusta","1","species","","","","Hochst.","Restionaceae","Cannomois","Cannomois","1","robusta","robusta","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001033400","","Y","Synonym","Cannomois robusta","Cannomois robusta","(Kunth) H.P.Linder","914781","species","https://www.worldfloraonline.org/taxon/wfo-0000923177","","Restionaceae",3,"3","wfo","","10",false,false
"11","Cassine peragua","1","582599","Cassine peragua","1","species","","","","L.","Celastraceae","Cassine","Cassine","1","peragua","peragua","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000589499;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:160100-1","","Y","Accepted","Cassine peragua","Cassine peragua","L.","582599","species","https://www.worldfloraonline.org/taxon/wfo-0000589499;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:160100-1","","Celastraceae",1,"1","wfo,wcvp","","11",true,true
"12","Cestrum laevigatum","1","1010439","Cestrum laevigatum","1","species","","","","Schltdl.","Solanaceae","Cestrum","Cestrum","1","laevigatum","laevigatum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330723-2","","Y","Accepted","Cestrum laevigatum","Cestrum laevigatum","Schltdl.","1010439","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330723-2","","Solanaceae",1,"1","wcvp","","12",true,true
"12","Cestrum laevigatum","1","1010439","Cestrum laevigatum","1","species","","","","Schltdl.","Solanaceae","Cestrum","Cestrum","1","laevigatum","laevigatum","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001020605","","Y","Synonym","Cestrum axillare","Cestrum axillare","Vell.","1010213","species","https://www.worldfloraonline.org/taxon/wfo-0001020336","","Solanaceae",2,"2","wfo","","12",false,false
"13","Cliffortia ericifolia","1","994664","Cliffortia ericifolia","1","species","","","","L.f.","Rosaceae","Cliffortia","Cliffortia","1","ericifolia","ericifolia","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001003911;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:722247-1","","Y","Accepted","Cliffortia ericifolia","Cliffortia ericifolia","L.f.","994664","species","https://www.worldfloraonline.org/taxon/wfo-0001003911;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:722247-1","","Rosaceae",1,"1","wfo,wcvp","","13",true,true
"13","Cliffortia ericifolia","1","1007291","Cliffortia ericifolia","1","species","","","","E.Mey. ex Harv.","Rosaceae","Cliffortia","Cliffortia","1","ericifolia","ericifolia","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2943671-4","","Y","Invalid","Cliffortia eriocephalina","Cliffortia eriocephalina","Cham.","1007149","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:722248-1","","Rosaceae",3,"4","wcvp","[HigherTaxa]","13",false,false
"13","Cliffortia ericifolia","1","1007291","Cliffortia ericifolia","1","species","","","","E.Mey. ex Harv.","Rosaceae","Cliffortia","Cliffortia","1","ericifolia","ericifolia","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001017183","","Y","Synonym","Cliffortia eriocephalina","Cliffortia eriocephalina","Cham.","1007149","species","https://www.worldfloraonline.org/taxon/wfo-0001017037","","Rosaceae",4,"3","wfo","[Overall]","13",false,false
"14","Cliffortia ilicifolia","1","1007172","Cliffortia ilicifolia","1","species","","","","L.","Rosaceae","Cliffortia","Cliffortia","1","ilicifolia","ilicifolia","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001017060;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:722273-1","","Y","Accepted","Cliffortia ilicifolia","Cliffortia ilicifolia","L.","1007172","species","https://www.worldfloraonline.org/taxon/wfo-0001017060;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:722273-1","","Rosaceae",1,"1","wfo,wcvp","","14",true,true
"15","Diospyros dichrophylla","1","641454","Diospyros dichrophylla","1","species","","","","(Gand.) De Winter","Ebenaceae","Diospyros","Diospyros","1","dichrophylla","dichrophylla","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000648771;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:322319-1","","Y","Accepted","Diospyros dichrophylla","Diospyros dichrophylla","(Gand.) De Winter","641454","species","https://www.worldfloraonline.org/taxon/wfo-0000648771;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:322319-1","","Ebenaceae",1,"1","wfo,wcvp","","15",true,true
"16","Dodonaea viscosa","1","645845","Dodonaea viscosa","1","species","","","","Jacq.","Sapindaceae","Dodonaea","Dodonaea","1","viscosa","viscosa","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000653170;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30058367-2","","Y","Accepted","Dodonaea viscosa","Dodonaea viscosa","Jacq.","645845","species","https://www.worldfloraonline.org/taxon/wfo-0000653170;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30058367-2","","Sapindaceae",1,"1","wfo,wcvp","","16",true,true
"17","Elytropappus gnaphaloides","1","1682913","Elytropappus gnaphaloides","1","species","","","","(L.) Levyns","Asteraceae","Elytropappus","Elytropappus","1","gnaphaloides","gnaphaloides","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:203012-1","","Y","Synonym","Myrovernix gnaphaloides","Myrovernix gnaphaloides","(L.) Koek.","1684668","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77197870-1","","Asteraceae",1,"1","wcvp","","17",true,true
"18","Elytropappus rhinocerotis","1","75741","Elytropappus rhinocerotis","1","species","","","","Less.","Asteraceae","Elytropappus","Elytropappus","1","rhinocerotis","rhinocerotis","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000076488","","Y","Accepted","Elytropappus rhinocerotis","Elytropappus rhinocerotis","Less.","75741","species","https://www.worldfloraonline.org/taxon/wfo-0000076488","","Asteraceae",1,"1","wfo","","18",true,true
"18","Elytropappus rhinocerotis","1","1580088","Elytropappus rhinocerotis","1","species","","","","(L.f.) Less.","Asteraceae","Elytropappus","Elytropappus","1","rhinocerotis","rhinocerotis","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:203016-1","","Y","Synonym","Dicerothamnus rhinocerotis","Dicerothamnus rhinocerotis","(L.f.) Koek.","87486","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77197864-1","","Asteraceae",2,"2","wcvp","","18",false,false
"19","Erica canaliculata","1","664193","Erica canaliculata","1","species","","","","Andrews","Ericaceae","Erica","Erica","1","canaliculata","canaliculata","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000671612;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328367-1","","Y","Accepted","Erica canaliculata","Erica canaliculata","Andrews","664193","species","https://www.worldfloraonline.org/taxon/wfo-0000671612;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328367-1","","Ericaceae",1,"1","wfo,wcvp","","19",true,true
"20","Erica discolor","1","664471","Erica discolor","1","species","","","","Andrews","Ericaceae","Erica","Erica","1","discolor","discolor","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000671892;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328584-1","","Y","Accepted","Erica discolor","Erica discolor","Andrews","664471","species","https://www.worldfloraonline.org/taxon/wfo-0000671892;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328584-1","","Ericaceae",1,"1","wfo,wcvp","","20",true,true
"21","Eucalyptus camaldulensis","1","945982","Eucalyptus camaldulensis","1","species","","","","Dehnh.","Myrtaceae","Eucalyptus","Eucalyptus","1","camaldulensis","camaldulensis","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000954597;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:592777-1","","Y","Accepted","Eucalyptus camaldulensis","Eucalyptus camaldulensis","Dehnh.","945982","species","https://www.worldfloraonline.org/taxon/wfo-0000954597;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:592777-1","","Myrtaceae",1,"1","wfo,wcvp","","21",true,true
"22","Gymnosporia buxifolia","1","705264","Gymnosporia buxifolia","1","species","","","","(L.) Szyszył.","Celastraceae","Gymnosporia","Gymnosporia","1","buxifolia","buxifolia","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000712869;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161310-1","","Y","Accepted","Gymnosporia buxifolia","Gymnosporia buxifolia","(L.) Szyszył.","705264","species","https://www.worldfloraonline.org/taxon/wfo-0000712869;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161310-1","","Celastraceae",1,"1","wfo,wcvp","","22",true,true
"23","Kniphofia uvaria","1","667864","Kniphofia uvaria","1","species","","","","(L.) Oken","Asphodelaceae","Kniphofia","Kniphofia","1","uvaria","uvaria","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000675300;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:537112-1","","Y","Accepted","Kniphofia uvaria","Kniphofia uvaria","(L.) Oken","667864","species","https://www.worldfloraonline.org/taxon/wfo-0000675300;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:537112-1","","Asphodelaceae",1,"1","wfo,wcvp","","23",true,true
"24","Leptospermum laevigatum","1","221811","Leptospermum laevigatum","1","species","","","","(Gaertn.) F.Muell.","Myrtaceae","Leptospermum","Leptospermum","1","laevigatum","laevigatum","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000226626;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:597433-1","","Y","Accepted","Leptospermum laevigatum","Leptospermum laevigatum","(Gaertn.) F.Muell.","221811","species","https://www.worldfloraonline.org/taxon/wfo-0000226626;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:597433-1","","Myrtaceae",1,"1","wfo,wcvp","","24",true,true
"25","Leucadendron eucalyptifolium","1","1092440","Leucadendron eucalyptifolium","1","species","","","","H.Buek ex Meisn.","Proteaceae","Leucadendron","Leucadendron","1","eucalyptifolium","eucalyptifolium","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001106966;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:704793-1","","Y","Accepted","Leucadendron eucalyptifolium","Leucadendron eucalyptifolium","H.Buek ex Meisn.","1092440","species","https://www.worldfloraonline.org/taxon/wfo-0001106966;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:704793-1","","Proteaceae",1,"1","wfo,wcvp","","25",true,true
"26","Leucadendron glaberrimum","1","1092447","Leucadendron glaberrimum","1","species","","","","(Schltr.) Compton","Proteaceae","Leucadendron","Leucadendron","1","glaberrimum","glaberrimum","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001106973;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:704806-1","","Y","Accepted","Leucadendron glaberrimum","Leucadendron glaberrimum","(Schltr.) Compton","1092447","species","https://www.worldfloraonline.org/taxon/wfo-0001106973;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:704806-1","","Proteaceae",1,"1","wfo,wcvp","","26",true,true
"27","Leucadendron pubescens","1","1092484","Leucadendron pubescens","1","species","","","","R.Br.","Proteaceae","Leucadendron","Leucadendron","1","pubescens","pubescens","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001107010;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:704903-1","","Y","Accepted","Leucadendron pubescens","Leucadendron pubescens","R.Br.","1092484","species","https://www.worldfloraonline.org/taxon/wfo-0001107010;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:704903-1","","Proteaceae",1,"1","wfo,wcvp","","27",true,true
"28","Maytenus oleoides","1","1275139","Maytenus oleoides","1","species","","","","(Lam.) Loes.","Celastraceae","Maytenus","Maytenus","1","oleoides","oleoides","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001292617;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:162011-1","","Y","Accepted","Maytenus oleoides","Maytenus oleoides","(Lam.) Loes.","1275139","species","https://www.worldfloraonline.org/taxon/wfo-0001292617;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:162011-1","","Celastraceae",1,"1","wfo,wcvp","","28",true,true
"29","Metalasia muricata","1","137734","Metalasia muricata","1","species","","","","(L.) D.Don","Asteraceae","Metalasia","Metalasia","1","muricata","muricata","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000139243","","Y","Accepted","Metalasia muricata","Metalasia muricata","(L.) D.Don","137734","species","https://www.worldfloraonline.org/taxon/wfo-0000139243","","Asteraceae",1,"1","wfo","[Ambiguous]","29",true,true
"29","Metalasia muricata","1","87323","Metalasia muricata","1","species","","","","R.Br.","Asteraceae","Metalasia","Metalasia","1","muricata","muricata","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000088209","","Y","Accepted","Metalasia muricata","Metalasia muricata","R.Br.","87323","species","https://www.worldfloraonline.org/taxon/wfo-0000088209","","Asteraceae",2,"2","wfo","[Ambiguous]","29",false,false
"29","Metalasia muricata","1","1656970","Metalasia muricata","1","species","","","","(L.) R.Br.","Asteraceae","Metalasia","Metalasia","1","muricata","muricata","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:232382-1","","Y","Accepted","Metalasia muricata","Metalasia muricata","(L.) R.Br.","1656970","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:232382-1","","Asteraceae",3,"3","wcvp","","29",false,false
"30","Metrosideros angustifolia","1","237490","Metrosideros angustifolia","1","species","","","","(L.) Sm.","Myrtaceae","Metrosideros","Metrosideros","1","angustifolia","angustifolia","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000242348;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:598157-1","","Y","Accepted","Metrosideros angustifolia","Metrosideros angustifolia","(L.) Sm.","237490","species","https://www.worldfloraonline.org/taxon/wfo-0000242348;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:598157-1","","Myrtaceae",1,"1","wfo,wcvp","","30",true,true
"30","Metrosideros angustifolia","1","237491","Metrosideros angustifolia","1","species","","","","Dum.Cours.","Myrtaceae","Metrosideros","Metrosideros","1","angustifolia","angustifolia","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:598156-1","","Y","Illegitimate","Melaleuca citrina","Melaleuca citrina","(Curtis) Dum.Cours.","234621","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77108602-1","","Myrtaceae",3,"4","wcvp","[HigherTaxa]","30",false,false
"30","Metrosideros angustifolia","1","237491","Metrosideros angustifolia","1","species","","","","Dum.Cours.","Myrtaceae","Metrosideros","Metrosideros","1","angustifolia","angustifolia","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000242349","","Y","Synonym","Melaleuca citrina","Melaleuca citrina","(Curtis) Dum.Cours.","234621","species","https://www.worldfloraonline.org/taxon/wfo-0000239474","","Myrtaceae",4,"3","wfo","[Overall]","30",false,false
"31","Osteospermum moniliferum","1","112182","Osteospermum moniliferum","1","species","","","","L.","Asteraceae","Osteospermum","Osteospermum","1","moniliferum","moniliferum","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000113312;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:235839-1","","Y","Accepted","Osteospermum moniliferum","Osteospermum moniliferum","L.","112182","species","https://www.worldfloraonline.org/taxon/wfo-0000113312;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:235839-1","","Asteraceae",1,"1","wfo,wcvp","","31",true,true
"32","Osyris compressa","1","382703","Osyris compressa","1","species","","","","A.DC.","Santalaceae","Osyris","Osyris","1","compressa","compressa","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000388248","","Y","Accepted","Osyris compressa","Osyris compressa","A.DC.","382703","species","https://www.worldfloraonline.org/taxon/wfo-0000388248","","Santalaceae",1,"1","wfo","","32",true,true
"32","Osyris compressa","1","1784776","Osyris compressa","1","species","","","","(P.J.Bergius) A.DC.","Santalaceae","Osyris","Osyris","1","compressa","compressa","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:780500-1","","Y","Accepted","Osyris compressa","Osyris compressa","(P.J.Bergius) A.DC.","1784776","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:780500-1","","Santalaceae",2,"2","wcvp","","32",false,false
"33","Paranomus bracteolaris","1","1092028","Paranomus bracteolaris","1","species","","","","Knight","Proteaceae","Paranomus","Paranomus","1","bracteolaris","bracteolaris","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001106547;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:705334-1","","Y","Accepted","Paranomus bracteolaris","Paranomus bracteolaris","Knight","1092028","species","https://www.worldfloraonline.org/taxon/wfo-0001106547;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:705334-1","","Proteaceae",1,"1","wfo,wcvp","","33",true,true
"34","Passerina rigida","1","1127436","Passerina rigida","1","species","","","","Wikstr.","Thymelaeaceae","Passerina","Passerina","1","rigida","rigida","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001142504;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:832386-1","","Y","Accepted","Passerina rigida","Passerina rigida","Wikstr.","1127436","species","https://www.worldfloraonline.org/taxon/wfo-0001142504;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:832386-1","","Thymelaeaceae",1,"1","wfo,wcvp","","34",true,true
"35","Passerina truncata","1","1249125","Passerina truncata","1","species","","","","(Meisn.) Bredenk. & A.E.van Wyk","Thymelaeaceae","Passerina","Passerina","1","truncata","truncata","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001265878;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20006884-1","","Y","Accepted","Passerina truncata","Passerina truncata","(Meisn.) Bredenk. & A.E.van Wyk","1249125","species","https://www.worldfloraonline.org/taxon/wfo-0001265878;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20006884-1","","Thymelaeaceae",1,"1","wfo,wcvp","","35",true,true
"36","Pelargonium scabrum","1","1050990","Pelargonium scabrum","1","species","","","","L'Hér.","Geraniaceae","Pelargonium","Pelargonium","1","scabrum","scabrum","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001064370","","Y","Accepted","Pelargonium scabrum","Pelargonium scabrum","L'Hér.","1050990","species","https://www.worldfloraonline.org/taxon/wfo-0001064370","","Geraniaceae",1,"1","wfo","","36",true,true
"36","Pelargonium scabrum","1","1618026","Pelargonium scabrum","1","species","","","","(L.) L'Hér.","Geraniaceae","Pelargonium","Pelargonium","1","scabrum","scabrum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60443354-2","","Y","Accepted","Pelargonium scabrum","Pelargonium scabrum","(L.) L'Hér.","1618026","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60443354-2","","Geraniaceae",2,"2","wcvp","","36",false,false
